"acquisition_date","acquisition_mileage","at_fault_flag","average_idle_hours","average_mpg","cargo_damage_cost","cdl_class","city","claim_amount","date_of_birth","description","dock_doors","downtime_hours","driver_id","employment_status","facility_id","facility_location","facility_name","facility_type","first_name","fuel_type","hire_date","home_terminal","incident_date","incident_id","incident_type","injury_flag","labor_cost","labor_hours","last_name","latitude","license_number","license_state","location_city","location_state","longitude","maintenance_date","maintenance_id","maintenance_type","make","model_year","month","odometer_reading","on_time_delivery_rate","operating_hours","parts_cost","preventable_flag","service_description","state","status","tank_capacity_gallons","termination_date","total_cost","total_fuel_gallons","total_miles","total_revenue","trip_id","trips_completed","truck_id","unit_number","vehicle_damage_cost","vin","years_experience"
NA,NA,NA,8.2,6.61,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-01-01",NA,0.385,NA,NA,NA,NA,NA,NA,NA,NA,NA,5574.7,36620,79141.59,NA,26,NA,NA,NA,NA,NA
NA,NA,NA,6.8,6.69,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-02-01",NA,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,2095.1,13515,27133.87,NA,9,NA,NA,NA,NA,NA
NA,NA,NA,7.5,6.36,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-03-01",NA,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,4792.2,30361,62399.62,NA,20,NA,NA,NA,NA,NA
NA,NA,NA,8.4,6.61,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-04-01",NA,0.474,NA,NA,NA,NA,NA,NA,NA,NA,NA,4251.4,28127,68161.13,NA,19,NA,NA,NA,NA,NA
NA,NA,NA,6.8,6.35,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-05-01",NA,0.214,NA,NA,NA,NA,NA,NA,NA,NA,NA,2573.1,16071,36256.82,NA,14,NA,NA,NA,NA,NA
NA,NA,NA,5.5,6.38,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-06-01",NA,0.615,NA,NA,NA,NA,NA,NA,NA,NA,NA,2767.8,17291,39709.91,NA,13,NA,NA,NA,NA,NA
NA,NA,NA,7.5,6.41,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-07-01",NA,0.476,NA,NA,NA,NA,NA,NA,NA,NA,NA,5198.6,32772,66855.24,NA,21,NA,NA,NA,NA,NA
NA,NA,NA,5.8,6.35,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-08-01",NA,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,4331.9,27010,58514.48,NA,20,NA,NA,NA,NA,NA
NA,NA,NA,5.8,6.21,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-09-01",NA,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,4984.9,30866,72027.99,NA,20,NA,NA,NA,NA,NA
NA,NA,NA,7,6.26,NA,NA,NA,NA,NA,NA,NA,NA,"DRV00001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-10-01",NA,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,3832.4,23943,53495.8,NA,12,NA,NA,NA,NA,NA
